,Tit For Tat,First by Tideman and Chieruzzi,First by Nydegger,First by Grofman,First by Shubik,First by Stein and Rapoport,Grudger,First by Davis,First by Graaskamp,First by Downing,First by Feld,First by Joss,First by Tullock,First by Anonymous,Random
Tit For Tat,"[300, 300, 300, 300, 300]","[295, 295, 295, 295, 295]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[295, 295, 295, 295, 295]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[275, 275, 275, 275, 275]","[297, 297, 297, 297, 297]","[181, 181, 181, 181, 181]","[173, 173, 173, 173, 173]","[216, 216, 216, 216, 216]","[207, 207, 207, 207, 207]","[216, 216, 216, 216, 216]"
First by Tideman and Chieruzzi,"[300, 300, 300, 300, 300]","[296, 296, 296, 296, 296]","[304, 304, 304, 304, 304]","[304, 304, 304, 304, 304]","[300, 300, 300, 300, 300]","[296, 296, 296, 296, 296]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[294, 294, 294, 294, 294]","[133, 133, 133, 133, 133]","[114, 114, 114, 114, 114]","[134, 134, 134, 134, 134]","[200, 200, 200, 200, 200]","[284, 284, 284, 284, 284]","[247, 247, 247, 247, 247]"
First by Nydegger,"[300, 300, 300, 300, 300]","[294, 294, 294, 294, 294]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[294, 294, 294, 294, 294]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[279, 279, 279, 279, 279]","[15, 15, 15, 15, 15]","[258, 258, 258, 258, 258]","[264, 264, 264, 264, 264]","[267, 267, 267, 267, 267]","[177, 177, 177, 177, 177]","[141, 141, 141, 141, 141]"
First by Grofman,"[300, 300, 300, 300, 300]","[294, 294, 294, 294, 294]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[295, 295, 295, 295, 295]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[297, 297, 297, 297, 297]","[52, 52, 52, 52, 52]","[230, 230, 230, 230, 230]","[249, 249, 249, 249, 249]","[253, 253, 253, 253, 253]","[226, 226, 226, 226, 226]","[215, 215, 215, 215, 215]"
First by Shubik,"[300, 300, 300, 300, 300]","[295, 295, 295, 295, 295]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[295, 295, 295, 295, 295]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[317, 317, 317, 317, 317]","[141, 141, 141, 141, 141]","[151, 151, 151, 151, 151]","[141, 141, 141, 141, 141]","[142, 142, 142, 142, 142]","[260, 260, 260, 260, 260]","[272, 272, 272, 272, 272]"
First by Stein and Rapoport,"[300, 300, 300, 300, 300]","[296, 296, 296, 296, 296]","[304, 304, 304, 304, 304]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[296, 296, 296, 296, 296]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[276, 276, 276, 276, 276]","[272, 272, 272, 272, 272]","[225, 225, 225, 225, 225]","[190, 190, 190, 190, 190]","[181, 181, 181, 181, 181]","[304, 304, 304, 304, 304]","[320, 320, 320, 320, 320]"
Grudger,"[300, 300, 300, 300, 300]","[295, 295, 295, 295, 295]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[295, 295, 295, 295, 295]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[307, 307, 307, 307, 307]","[111, 111, 111, 111, 111]","[171, 171, 171, 171, 171]","[131, 131, 131, 131, 131]","[143, 143, 143, 143, 143]","[291, 291, 291, 291, 291]","[283, 283, 283, 283, 283]"
First by Davis,"[300, 300, 300, 300, 300]","[295, 295, 295, 295, 295]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[295, 295, 295, 295, 295]","[300, 300, 300, 300, 300]","[300, 300, 300, 300, 300]","[311, 311, 311, 311, 311]","[105, 105, 105, 105, 105]","[121, 121, 121, 121, 121]","[121, 121, 121, 121, 121]","[153, 153, 153, 153, 153]","[262, 262, 262, 262, 262]","[296, 296, 296, 296, 296]"
First by Graaskamp,"[275, 275, 275, 275, 275]","[279, 279, 279, 279, 279]","[314, 314, 314, 314, 314]","[287, 287, 287, 287, 287]","[247, 247, 247, 247, 247]","[271, 271, 271, 271, 271]","[177, 177, 177, 177, 177]","[176, 176, 176, 176, 176]","[200, 200, 200, 200, 200]","[305, 305, 305, 305, 305]","[179, 179, 179, 179, 179]","[170, 170, 170, 170, 170]","[165, 165, 165, 165, 165]","[259, 259, 259, 259, 259]","[254, 254, 254, 254, 254]"
First by Downing,"[297, 297, 297, 297, 297]","[103, 103, 103, 103, 103]","[480, 480, 480, 480, 480]","[327, 327, 327, 327, 327]","[151, 151, 151, 151, 151]","[122, 122, 122, 122, 122]","[101, 101, 101, 101, 101]","[135, 135, 135, 135, 135]","[285, 285, 285, 285, 285]","[100, 100, 100, 100, 100]","[279, 279, 279, 279, 279]","[279, 279, 279, 279, 279]","[139, 139, 139, 139, 139]","[276, 276, 276, 276, 276]","[164, 164, 164, 164, 164]"
First by Feld,"[186, 186, 186, 186, 186]","[114, 114, 114, 114, 114]","[328, 328, 328, 328, 328]","[305, 305, 305, 305, 305]","[151, 151, 151, 151, 151]","[230, 230, 230, 230, 230]","[171, 171, 171, 171, 171]","[121, 121, 121, 121, 121]","[184, 184, 184, 184, 184]","[309, 309, 309, 309, 309]","[172, 172, 172, 172, 172]","[140, 140, 140, 140, 140]","[171, 171, 171, 171, 171]","[232, 232, 232, 232, 232]","[252, 252, 252, 252, 252]"
First by Joss,"[178, 178, 178, 178, 178]","[134, 134, 134, 134, 134]","[324, 324, 324, 324, 324]","[299, 299, 299, 299, 299]","[156, 156, 156, 156, 156]","[195, 195, 195, 195, 195]","[131, 131, 131, 131, 131]","[121, 121, 121, 121, 121]","[190, 190, 190, 190, 190]","[309, 309, 309, 309, 309]","[140, 140, 140, 140, 140]","[125, 125, 125, 125, 125]","[201, 201, 201, 201, 201]","[249, 249, 249, 249, 249]","[232, 232, 232, 232, 232]"
First by Tullock,"[221, 221, 221, 221, 221]","[195, 195, 195, 195, 195]","[322, 322, 322, 322, 322]","[288, 288, 288, 288, 288]","[172, 172, 172, 172, 172]","[186, 186, 186, 186, 186]","[123, 123, 123, 123, 123]","[148, 148, 148, 148, 148]","[170, 170, 170, 170, 170]","[104, 104, 104, 104, 104]","[176, 176, 176, 176, 176]","[196, 196, 196, 196, 196]","[183, 183, 183, 183, 183]","[230, 230, 230, 230, 230]","[227, 227, 227, 227, 227]"
First by Anonymous,"[207, 207, 207, 207, 207]","[94, 94, 94, 94, 94]","[367, 367, 367, 367, 367]","[276, 276, 276, 276, 276]","[130, 130, 130, 130, 130]","[79, 79, 79, 79, 79]","[56, 56, 56, 56, 56]","[92, 92, 92, 92, 92]","[149, 149, 149, 149, 149]","[56, 56, 56, 56, 56]","[212, 212, 212, 212, 212]","[214, 214, 214, 214, 214]","[200, 200, 200, 200, 200]","[223, 223, 223, 223, 223]","[218, 218, 218, 218, 218]"
Random,"[221, 221, 221, 221, 221]","[107, 107, 107, 107, 107]","[391, 391, 391, 391, 391]","[255, 255, 255, 255, 255]","[132, 132, 132, 132, 132]","[75, 75, 75, 75, 75]","[58, 58, 58, 58, 58]","[86, 86, 86, 86, 86]","[144, 144, 144, 144, 144]","[384, 384, 384, 384, 384]","[207, 207, 207, 207, 207]","[232, 232, 232, 232, 232]","[227, 227, 227, 227, 227]","[228, 228, 228, 228, 228]","[213, 213, 213, 213, 213]"
