Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
0,Tit For Tat,Tit For Tat,549,0,3.0,"[0, 0, 1]"
0,Tit For Tat,Tit For Tat,549,0,3.0,"[0, 0, 1]"
1,Tit For Tat,"First by Tideman and Chieruzzi: (D, D)",556,-5,2.9732620320855614,"[0, 1, 0]"
1,"First by Tideman and Chieruzzi: (D, D)",Tit For Tat,561,5,3.0,"[0, 1, 0]"
2,Tit For Tat,First by Nydegger,543,0,3.0,"[0, 0, 1]"
2,First by Nydegger,Tit For Tat,543,0,3.0,"[0, 0, 1]"
3,Tit For Tat,First by Grofman,558,0,3.0,"[0, 0, 1]"
3,First by Grofman,Tit For Tat,558,0,3.0,"[0, 0, 1]"
4,Tit For Tat,First by Shubik,636,0,3.0,"[0, 0, 1]"
4,First by Shubik,Tit For Tat,636,0,3.0,"[0, 0, 1]"
5,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",610,-5,2.975609756097561,"[0, 1, 0]"
5,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,615,5,3.0,"[0, 1, 0]"
6,Tit For Tat,Grudger,621,0,3.0,"[0, 0, 1]"
6,Grudger,Tit For Tat,621,0,3.0,"[0, 0, 1]"
7,Tit For Tat,First by Davis: 10,546,0,3.0,"[0, 0, 1]"
7,First by Davis: 10,Tit For Tat,546,0,3.0,"[0, 0, 1]"
8,Tit For Tat,First by Graaskamp: 0.05,505,0,2.630208333333333,"[0, 0, 1]"
8,First by Graaskamp: 0.05,Tit For Tat,505,0,2.630208333333333,"[0, 0, 1]"
9,Tit For Tat,First by Downing,615,0,2.9854368932038837,"[0, 0, 1]"
9,First by Downing,Tit For Tat,615,0,2.9854368932038837,"[0, 0, 1]"
10,Tit For Tat,"First by Feld: 1.0, 0.5, 200",316,-5,1.4363636363636365,"[0, 1, 0]"
10,"First by Feld: 1.0, 0.5, 200",Tit For Tat,321,5,1.459090909090909,"[0, 1, 0]"
11,Tit For Tat,First by Joss: 0.9,235,-5,1.1809045226130652,"[0, 1, 0]"
11,First by Joss: 0.9,Tit For Tat,240,5,1.2060301507537687,"[0, 1, 0]"
12,Tit For Tat,First by Tullock,272,-5,1.326829268292683,"[0, 1, 0]"
12,First by Tullock,Tit For Tat,277,5,1.351219512195122,"[0, 1, 0]"
13,Tit For Tat,First by Anonymous,499,0,2.32093023255814,"[0, 0, 1]"
13,First by Anonymous,Tit For Tat,499,0,2.32093023255814,"[0, 0, 1]"
14,Tit For Tat,Random: 0.5,464,0,2.391752577319588,"[0, 0, 1]"
14,Random: 0.5,Tit For Tat,464,0,2.391752577319588,"[0, 0, 1]"
15,"First by Tideman and Chieruzzi: (D, D)","First by Tideman and Chieruzzi: (D, D)",620,0,2.980769230769231,"[0, 0, 1]"
15,"First by Tideman and Chieruzzi: (D, D)","First by Tideman and Chieruzzi: (D, D)",620,0,2.980769230769231,"[0, 0, 1]"
16,"First by Tideman and Chieruzzi: (D, D)",First by Nydegger,610,10,3.01980198019802,"[1, 0, 0]"
16,First by Nydegger,"First by Tideman and Chieruzzi: (D, D)",600,-10,2.9702970297029703,"[1, 0, 0]"
17,"First by Tideman and Chieruzzi: (D, D)",First by Grofman,546,5,3.0,"[1, 0, 0]"
17,First by Grofman,"First by Tideman and Chieruzzi: (D, D)",541,-5,2.9725274725274726,"[1, 0, 0]"
18,"First by Tideman and Chieruzzi: (D, D)",First by Shubik,612,5,3.0,"[1, 0, 0]"
18,First by Shubik,"First by Tideman and Chieruzzi: (D, D)",607,-5,2.9754901960784315,"[1, 0, 0]"
19,"First by Tideman and Chieruzzi: (D, D)","First by Stein and Rapoport: 0.05: (D, D)",554,0,2.978494623655914,"[0, 0, 1]"
19,"First by Stein and Rapoport: 0.05: (D, D)","First by Tideman and Chieruzzi: (D, D)",554,0,2.978494623655914,"[0, 0, 1]"
20,"First by Tideman and Chieruzzi: (D, D)",Grudger,657,5,3.0,"[1, 0, 0]"
20,Grudger,"First by Tideman and Chieruzzi: (D, D)",652,-5,2.9771689497716896,"[1, 0, 0]"
21,"First by Tideman and Chieruzzi: (D, D)",First by Davis: 10,603,5,3.0,"[1, 0, 0]"
21,First by Davis: 10,"First by Tideman and Chieruzzi: (D, D)",598,-5,2.9751243781094527,"[1, 0, 0]"
22,"First by Tideman and Chieruzzi: (D, D)",First by Graaskamp: 0.05,641,35,2.953917050691244,"[1, 0, 0]"
22,First by Graaskamp: 0.05,"First by Tideman and Chieruzzi: (D, D)",606,-35,2.792626728110599,"[1, 0, 0]"
23,"First by Tideman and Chieruzzi: (D, D)",First by Downing,213,30,1.1833333333333331,"[1, 0, 0]"
23,First by Downing,"First by Tideman and Chieruzzi: (D, D)",183,-30,1.0166666666666666,"[1, 0, 0]"
24,"First by Tideman and Chieruzzi: (D, D)","First by Feld: 1.0, 0.5, 200",303,0,1.4360189573459716,"[0, 0, 1]"
24,"First by Feld: 1.0, 0.5, 200","First by Tideman and Chieruzzi: (D, D)",303,0,1.4360189573459716,"[0, 0, 1]"
25,"First by Tideman and Chieruzzi: (D, D)",First by Joss: 0.9,234,0,1.0934579439252337,"[0, 0, 1]"
25,First by Joss: 0.9,"First by Tideman and Chieruzzi: (D, D)",234,0,1.0934579439252337,"[0, 0, 1]"
26,"First by Tideman and Chieruzzi: (D, D)",First by Tullock,243,10,1.2525773195876289,"[1, 0, 0]"
26,First by Tullock,"First by Tideman and Chieruzzi: (D, D)",233,-10,1.2010309278350515,"[1, 0, 0]"
27,"First by Tideman and Chieruzzi: (D, D)",First by Anonymous,594,385,2.7247706422018347,"[1, 0, 0]"
27,First by Anonymous,"First by Tideman and Chieruzzi: (D, D)",209,-385,0.9587155963302753,"[1, 0, 0]"
28,"First by Tideman and Chieruzzi: (D, D)",Random: 0.5,560,395,2.814070351758794,"[1, 0, 0]"
28,Random: 0.5,"First by Tideman and Chieruzzi: (D, D)",165,-395,0.8291457286432161,"[1, 0, 0]"
29,First by Nydegger,First by Nydegger,657,0,3.0,"[0, 0, 1]"
29,First by Nydegger,First by Nydegger,657,0,3.0,"[0, 0, 1]"
30,First by Nydegger,First by Grofman,570,0,3.0,"[0, 0, 1]"
30,First by Grofman,First by Nydegger,570,0,3.0,"[0, 0, 1]"
31,First by Nydegger,First by Shubik,555,0,3.0,"[0, 0, 1]"
31,First by Shubik,First by Nydegger,555,0,3.0,"[0, 0, 1]"
32,First by Nydegger,"First by Stein and Rapoport: 0.05: (D, D)",585,-10,2.969543147208122,"[0, 1, 0]"
32,"First by Stein and Rapoport: 0.05: (D, D)",First by Nydegger,595,10,3.020304568527919,"[0, 1, 0]"
33,First by Nydegger,Grudger,582,0,3.0,"[0, 0, 1]"
33,Grudger,First by Nydegger,582,0,3.0,"[0, 0, 1]"
34,First by Nydegger,First by Davis: 10,642,0,3.0,"[0, 0, 1]"
34,First by Davis: 10,First by Nydegger,642,0,3.0,"[0, 0, 1]"
35,First by Nydegger,First by Graaskamp: 0.05,597,-75,2.789719626168224,"[0, 1, 0]"
35,First by Graaskamp: 0.05,First by Nydegger,672,75,3.1401869158878504,"[0, 1, 0]"
36,First by Nydegger,First by Downing,15,-875,0.0824175824175824,"[0, 1, 0]"
36,First by Downing,First by Nydegger,890,875,4.8901098901098905,"[0, 1, 0]"
37,First by Nydegger,"First by Feld: 1.0, 0.5, 200",420,-200,2.333333333333333,"[0, 1, 0]"
37,"First by Feld: 1.0, 0.5, 200",First by Nydegger,620,200,3.4444444444444446,"[0, 1, 0]"
38,First by Nydegger,First by Joss: 0.9,585,-80,2.772511848341232,"[0, 1, 0]"
38,First by Joss: 0.9,First by Nydegger,665,80,3.151658767772512,"[0, 1, 0]"
39,First by Nydegger,First by Tullock,498,-130,2.59375,"[0, 1, 0]"
39,First by Tullock,First by Nydegger,628,130,3.270833333333333,"[0, 1, 0]"
40,First by Nydegger,First by Anonymous,257,-470,1.419889502762431,"[0, 1, 0]"
40,First by Anonymous,First by Nydegger,727,470,4.016574585635359,"[0, 1, 0]"
41,First by Nydegger,Random: 0.5,303,-535,1.4567307692307692,"[0, 1, 0]"
41,Random: 0.5,First by Nydegger,838,535,4.028846153846154,"[0, 1, 0]"
42,First by Grofman,First by Grofman,612,0,3.0,"[0, 0, 1]"
42,First by Grofman,First by Grofman,612,0,3.0,"[0, 0, 1]"
43,First by Grofman,First by Shubik,609,0,3.0,"[0, 0, 1]"
43,First by Shubik,First by Grofman,609,0,3.0,"[0, 0, 1]"
44,First by Grofman,"First by Stein and Rapoport: 0.05: (D, D)",538,-5,2.972375690607735,"[0, 1, 0]"
44,"First by Stein and Rapoport: 0.05: (D, D)",First by Grofman,543,5,3.0,"[0, 1, 0]"
45,First by Grofman,Grudger,549,0,3.0,"[0, 0, 1]"
45,Grudger,First by Grofman,549,0,3.0,"[0, 0, 1]"
46,First by Grofman,First by Davis: 10,597,0,3.0,"[0, 0, 1]"
46,First by Davis: 10,First by Grofman,597,0,3.0,"[0, 0, 1]"
47,First by Grofman,First by Graaskamp: 0.05,549,65,3.05,"[1, 0, 0]"
47,First by Graaskamp: 0.05,First by Grofman,484,-65,2.688888888888889,"[1, 0, 0]"
48,First by Grofman,First by Downing,97,-570,0.4754901960784313,"[0, 1, 0]"
48,First by Downing,First by Grofman,667,570,3.269607843137255,"[0, 1, 0]"
49,First by Grofman,"First by Feld: 1.0, 0.5, 200",407,-170,1.9661835748792271,"[0, 1, 0]"
49,"First by Feld: 1.0, 0.5, 200",First by Grofman,577,170,2.78743961352657,"[0, 1, 0]"
50,First by Grofman,First by Joss: 0.9,522,-65,2.5970149253731343,"[0, 1, 0]"
50,First by Joss: 0.9,First by Grofman,587,65,2.9203980099502487,"[0, 1, 0]"
51,First by Grofman,First by Tullock,552,-90,2.60377358490566,"[0, 1, 0]"
51,First by Tullock,First by Grofman,642,90,3.0283018867924527,"[0, 1, 0]"
52,First by Grofman,First by Anonymous,401,-150,2.0150753768844223,"[0, 1, 0]"
52,First by Anonymous,First by Grofman,551,150,2.768844221105528,"[0, 1, 0]"
53,First by Grofman,Random: 0.5,409,-125,2.045,"[0, 1, 0]"
53,Random: 0.5,First by Grofman,534,125,2.67,"[0, 1, 0]"
54,First by Shubik,First by Shubik,612,0,3.0,"[0, 0, 1]"
54,First by Shubik,First by Shubik,612,0,3.0,"[0, 0, 1]"
55,First by Shubik,"First by Stein and Rapoport: 0.05: (D, D)",625,-5,2.9761904761904763,"[0, 1, 0]"
55,"First by Stein and Rapoport: 0.05: (D, D)",First by Shubik,630,5,3.0,"[0, 1, 0]"
56,First by Shubik,Grudger,597,0,3.0,"[0, 0, 1]"
56,Grudger,First by Shubik,597,0,3.0,"[0, 0, 1]"
57,First by Shubik,First by Davis: 10,540,0,3.0,"[0, 0, 1]"
57,First by Davis: 10,First by Shubik,540,0,3.0,"[0, 0, 1]"
58,First by Shubik,First by Graaskamp: 0.05,712,330,3.473170731707317,"[1, 0, 0]"
58,First by Graaskamp: 0.05,First by Shubik,382,-330,1.8634146341463416,"[1, 0, 0]"
59,First by Shubik,First by Downing,243,-10,1.3135135135135134,"[0, 1, 0]"
59,First by Downing,First by Shubik,253,10,1.3675675675675676,"[0, 1, 0]"
60,First by Shubik,"First by Feld: 1.0, 0.5, 200",263,-20,1.4293478260869563,"[0, 1, 0]"
60,"First by Feld: 1.0, 0.5, 200",First by Shubik,283,20,1.5380434782608696,"[0, 1, 0]"
61,First by Shubik,First by Joss: 0.9,244,0,1.3118279569892473,"[0, 0, 1]"
61,First by Joss: 0.9,First by Shubik,244,0,1.3118279569892473,"[0, 0, 1]"
62,First by Shubik,First by Tullock,279,-50,1.55,"[0, 1, 0]"
62,First by Tullock,First by Shubik,329,50,1.8277777777777775,"[0, 1, 0]"
63,First by Shubik,First by Anonymous,508,280,2.8222222222222224,"[1, 0, 0]"
63,First by Anonymous,First by Shubik,228,-280,1.2666666666666666,"[1, 0, 0]"
64,First by Shubik,Random: 0.5,551,305,2.5045454545454544,"[1, 0, 0]"
64,Random: 0.5,First by Shubik,246,-305,1.1181818181818182,"[1, 0, 0]"
65,"First by Stein and Rapoport: 0.05: (D, D)","First by Stein and Rapoport: 0.05: (D, D)",554,0,2.978494623655914,"[0, 0, 1]"
65,"First by Stein and Rapoport: 0.05: (D, D)","First by Stein and Rapoport: 0.05: (D, D)",554,0,2.978494623655914,"[0, 0, 1]"
66,"First by Stein and Rapoport: 0.05: (D, D)",Grudger,594,5,3.0,"[1, 0, 0]"
66,Grudger,"First by Stein and Rapoport: 0.05: (D, D)",589,-5,2.974747474747475,"[1, 0, 0]"
67,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,615,5,3.0,"[1, 0, 0]"
67,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",610,-5,2.975609756097561,"[1, 0, 0]"
68,"First by Stein and Rapoport: 0.05: (D, D)",First by Graaskamp: 0.05,521,5,2.6313131313131315,"[1, 0, 0]"
68,First by Graaskamp: 0.05,"First by Stein and Rapoport: 0.05: (D, D)",516,-5,2.606060606060606,"[1, 0, 0]"
69,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,513,285,2.4663461538461537,"[1, 0, 0]"
69,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",228,-285,1.0961538461538465,"[1, 0, 0]"
70,"First by Stein and Rapoport: 0.05: (D, D)","First by Feld: 1.0, 0.5, 200",255,-5,1.2439024390243902,"[0, 1, 0]"
70,"First by Feld: 1.0, 0.5, 200","First by Stein and Rapoport: 0.05: (D, D)",260,5,1.2682926829268293,"[0, 1, 0]"
71,"First by Stein and Rapoport: 0.05: (D, D)",First by Joss: 0.9,252,0,1.2352941176470589,"[0, 0, 1]"
71,First by Joss: 0.9,"First by Stein and Rapoport: 0.05: (D, D)",252,0,1.2352941176470589,"[0, 0, 1]"
72,"First by Stein and Rapoport: 0.05: (D, D)",First by Tullock,300,-5,1.5544041450777202,"[0, 1, 0]"
72,First by Tullock,"First by Stein and Rapoport: 0.05: (D, D)",305,5,1.5803108808290156,"[0, 1, 0]"
73,"First by Stein and Rapoport: 0.05: (D, D)",First by Anonymous,567,420,2.7524271844660197,"[1, 0, 0]"
73,First by Anonymous,"First by Stein and Rapoport: 0.05: (D, D)",147,-420,0.7135922330097088,"[1, 0, 0]"
74,"First by Stein and Rapoport: 0.05: (D, D)",Random: 0.5,655,530,3.0324074074074074,"[1, 0, 0]"
74,Random: 0.5,"First by Stein and Rapoport: 0.05: (D, D)",125,-530,0.5787037037037037,"[1, 0, 0]"
75,Grudger,Grudger,552,0,3.0,"[0, 0, 1]"
75,Grudger,Grudger,552,0,3.0,"[0, 0, 1]"
76,Grudger,First by Davis: 10,540,0,3.0,"[0, 0, 1]"
76,First by Davis: 10,Grudger,540,0,3.0,"[0, 0, 1]"
77,Grudger,First by Graaskamp: 0.05,417,135,2.0242718446601944,"[1, 0, 0]"
77,First by Graaskamp: 0.05,Grudger,282,-135,1.3689320388349515,"[1, 0, 0]"
78,Grudger,First by Downing,205,10,1.056701030927835,"[1, 0, 0]"
78,First by Downing,Grudger,195,-10,1.0051546391752575,"[1, 0, 0]"
79,Grudger,"First by Feld: 1.0, 0.5, 200",277,0,1.259090909090909,"[0, 0, 1]"
79,"First by Feld: 1.0, 0.5, 200",Grudger,277,0,1.259090909090909,"[0, 0, 1]"
80,Grudger,First by Joss: 0.9,221,0,1.0728155339805825,"[0, 0, 1]"
80,First by Joss: 0.9,Grudger,221,0,1.0728155339805825,"[0, 0, 1]"
81,Grudger,First by Tullock,240,5,1.2307692307692308,"[1, 0, 0]"
81,First by Tullock,Grudger,235,-5,1.205128205128205,"[1, 0, 0]"
82,Grudger,First by Anonymous,589,500,3.2362637362637363,"[1, 0, 0]"
82,First by Anonymous,Grudger,89,-500,0.489010989010989,"[1, 0, 0]"
83,Grudger,Random: 0.5,625,510,2.920560747663552,"[1, 0, 0]"
83,Random: 0.5,Grudger,115,-510,0.5373831775700935,"[1, 0, 0]"
84,First by Davis: 10,First by Davis: 10,624,0,3.0,"[0, 0, 1]"
84,First by Davis: 10,First by Davis: 10,624,0,3.0,"[0, 0, 1]"
85,First by Davis: 10,First by Graaskamp: 0.05,393,135,2.159340659340659,"[1, 0, 0]"
85,First by Graaskamp: 0.05,First by Davis: 10,258,-135,1.4175824175824177,"[1, 0, 0]"
86,First by Davis: 10,First by Downing,221,-25,1.0424528301886793,"[0, 1, 0]"
86,First by Downing,First by Davis: 10,246,25,1.160377358490566,"[0, 1, 0]"
87,First by Davis: 10,"First by Feld: 1.0, 0.5, 200",271,0,1.266355140186916,"[0, 0, 1]"
87,"First by Feld: 1.0, 0.5, 200",First by Davis: 10,271,0,1.266355140186916,"[0, 0, 1]"
88,First by Davis: 10,First by Joss: 0.9,208,-5,1.0947368421052632,"[0, 1, 0]"
88,First by Joss: 0.9,First by Davis: 10,213,5,1.1210526315789473,"[0, 1, 0]"
89,First by Davis: 10,First by Tullock,257,25,1.3385416666666667,"[1, 0, 0]"
89,First by Tullock,First by Davis: 10,232,-25,1.2083333333333333,"[1, 0, 0]"
90,First by Davis: 10,First by Anonymous,512,380,2.797814207650273,"[1, 0, 0]"
90,First by Anonymous,First by Davis: 10,132,-380,0.7213114754098361,"[1, 0, 0]"
91,First by Davis: 10,Random: 0.5,526,390,2.797872340425532,"[1, 0, 0]"
91,Random: 0.5,First by Davis: 10,136,-390,0.723404255319149,"[1, 0, 0]"
92,First by Graaskamp: 0.05,First by Graaskamp: 0.05,289,0,1.529100529100529,"[0, 0, 1]"
92,First by Graaskamp: 0.05,First by Graaskamp: 0.05,289,0,1.529100529100529,"[0, 0, 1]"
93,First by Graaskamp: 0.05,First by Downing,621,90,3.1683673469387754,"[1, 0, 0]"
93,First by Downing,First by Graaskamp: 0.05,531,-90,2.709183673469388,"[1, 0, 0]"
94,First by Graaskamp: 0.05,"First by Feld: 1.0, 0.5, 200",265,-5,1.358974358974359,"[0, 1, 0]"
94,"First by Feld: 1.0, 0.5, 200",First by Graaskamp: 0.05,270,5,1.3846153846153846,"[0, 1, 0]"
95,First by Graaskamp: 0.05,First by Joss: 0.9,264,-20,1.4505494505494505,"[0, 1, 0]"
95,First by Joss: 0.9,First by Graaskamp: 0.05,284,20,1.5604395604395604,"[0, 1, 0]"
96,First by Graaskamp: 0.05,First by Tullock,539,-75,2.616504854368932,"[0, 1, 0]"
96,First by Tullock,First by Graaskamp: 0.05,614,75,2.9805825242718447,"[0, 1, 0]"
97,First by Graaskamp: 0.05,First by Anonymous,607,405,2.960975609756097,"[1, 0, 0]"
97,First by Anonymous,First by Graaskamp: 0.05,202,-405,0.9853658536585366,"[1, 0, 0]"
98,First by Graaskamp: 0.05,Random: 0.5,571,375,2.799019607843137,"[1, 0, 0]"
98,Random: 0.5,First by Graaskamp: 0.05,196,-375,0.9607843137254902,"[1, 0, 0]"
99,First by Downing,First by Downing,187,0,1.0,"[0, 0, 1]"
99,First by Downing,First by Downing,187,0,1.0,"[0, 0, 1]"
100,First by Downing,"First by Feld: 1.0, 0.5, 200",432,-200,2.3351351351351357,"[0, 1, 0]"
100,"First by Feld: 1.0, 0.5, 200",First by Downing,632,200,3.4162162162162164,"[0, 1, 0]"
101,First by Downing,First by Joss: 0.9,561,-75,2.7635467980295565,"[0, 1, 0]"
101,First by Joss: 0.9,First by Downing,636,75,3.1330049261083746,"[0, 1, 0]"
102,First by Downing,First by Tullock,224,30,1.2043010752688172,"[1, 0, 0]"
102,First by Tullock,First by Downing,194,-30,1.043010752688172,"[1, 0, 0]"
103,First by Downing,First by Anonymous,645,545,3.0861244019138754,"[1, 0, 0]"
103,First by Anonymous,First by Downing,100,-545,0.4784688995215311,"[1, 0, 0]"
104,First by Downing,Random: 0.5,300,-525,1.4563106796116505,"[0, 1, 0]"
104,Random: 0.5,First by Downing,825,525,4.004854368932039,"[0, 1, 0]"
105,"First by Feld: 1.0, 0.5, 200","First by Feld: 1.0, 0.5, 200",288,5,1.3649289099526067,"[1, 0, 0]"
105,"First by Feld: 1.0, 0.5, 200","First by Feld: 1.0, 0.5, 200",283,-5,1.3412322274881516,"[1, 0, 0]"
106,"First by Feld: 1.0, 0.5, 200",First by Joss: 0.9,248,0,1.305263157894737,"[0, 0, 1]"
106,First by Joss: 0.9,"First by Feld: 1.0, 0.5, 200",248,0,1.305263157894737,"[0, 0, 1]"
107,"First by Feld: 1.0, 0.5, 200",First by Tullock,337,10,1.61244019138756,"[1, 0, 0]"
107,First by Tullock,"First by Feld: 1.0, 0.5, 200",327,-10,1.5645933014354068,"[1, 0, 0]"
108,"First by Feld: 1.0, 0.5, 200",First by Anonymous,490,125,2.45,"[1, 0, 0]"
108,First by Anonymous,"First by Feld: 1.0, 0.5, 200",365,-125,1.825,"[1, 0, 0]"
109,"First by Feld: 1.0, 0.5, 200",Random: 0.5,525,140,2.625,"[1, 0, 0]"
109,Random: 0.5,"First by Feld: 1.0, 0.5, 200",385,-140,1.925,"[1, 0, 0]"
110,First by Joss: 0.9,First by Joss: 0.9,221,0,1.2209944751381216,"[0, 0, 1]"
110,First by Joss: 0.9,First by Joss: 0.9,221,0,1.2209944751381216,"[0, 0, 1]"
111,First by Joss: 0.9,First by Tullock,241,5,1.193069306930693,"[1, 0, 0]"
111,First by Tullock,First by Joss: 0.9,236,-5,1.1683168316831682,"[1, 0, 0]"
112,First by Joss: 0.9,First by Anonymous,543,85,2.4908256880733943,"[1, 0, 0]"
112,First by Anonymous,First by Joss: 0.9,458,-85,2.1009174311926606,"[1, 0, 0]"
113,First by Joss: 0.9,Random: 0.5,408,35,2.205405405405405,"[1, 0, 0]"
113,Random: 0.5,First by Joss: 0.9,373,-35,2.016216216216216,"[1, 0, 0]"
114,First by Tullock,First by Tullock,381,15,1.7638888888888888,"[1, 0, 0]"
114,First by Tullock,First by Tullock,366,-15,1.6944444444444444,"[1, 0, 0]"
115,First by Tullock,First by Anonymous,438,35,2.4198895027624308,"[1, 0, 0]"
115,First by Anonymous,First by Tullock,403,-35,2.226519337016575,"[1, 0, 0]"
116,First by Tullock,Random: 0.5,479,20,2.197247706422018,"[1, 0, 0]"
116,Random: 0.5,First by Tullock,459,-20,2.1055045871559632,"[1, 0, 0]"
117,First by Anonymous,First by Anonymous,498,70,2.41747572815534,"[1, 0, 0]"
117,First by Anonymous,First by Anonymous,428,-70,2.0776699029126213,"[1, 0, 0]"
118,First by Anonymous,Random: 0.5,458,-20,2.191387559808613,"[0, 1, 0]"
118,Random: 0.5,First by Anonymous,478,20,2.287081339712919,"[0, 1, 0]"
119,Random: 0.5,Random: 0.5,458,50,2.3854166666666665,"[1, 0, 0]"
119,Random: 0.5,Random: 0.5,408,-50,2.125,"[1, 0, 0]"
